Metric,Modbus address first,Modbus address last,MQTT topic suffix,Unit
PV1 Power,672,672,dc/pv1/power,W
PV2 Power,673,673,dc/pv2/power,W
PV1 Voltage,676,676,dc/pv1/voltage,V
PV2 Voltage,678,678,dc/pv2/voltage,V
PV1 Current,677,677,dc/pv1/current,A
PV2 Current,679,679,dc/pv2/current,A
Daily Production,529,529,day_energy,kWh
Total Production,534,535,total_energy,kWh
Total Grid Power,625,625,ac/total_power,W
Grid Voltage L1,598,598,ac/l1/voltage,V
Grid Voltage L2,599,599,ac/l2/voltage,V
Grid Voltage L3,600,600,ac/l3/voltage,V
Internal CT L1 Power,604,604,ac/l1/ct/internal,W
Internal CT L2 Power,605,605,ac/l2/ct/internal,W
Internal CT L3 Power,606,606,ac/l3/ct/internal,W
External CT L1 Power,616,616,ac/l1/ct/external,W
External CT L2 Power,617,617,ac/l2/ct/external,W
External CT L3 Power,618,618,ac/l3/ct/external,W
Daily Energy Bought,520,520,ac/daily_energy_bought,kWh
Total Energy Bought,522,523,ac/total_energy_bought,kWh
Daily Energy Sold,521,521,ac/daily_energy_sold,kWh
Total Energy Sold,524,525,ac/total_energy_sold,kWh
Current L1,630,630,ac/l1/current,A
Current L2,631,631,ac/l2/current,A
Current L3,632,632,ac/l3/current,A
Inverter L1 Power,633,633,ac/l1/power,W
Inverter L2 Power,634,634,ac/l2/power,W
Inverter L3 Power,635,635,ac/l3/power,W
DC Temperature,540,540,radiator_temp,°C
AC Temperature,541,541,ac/temperature,°C
Daily Battery Charge,514,514,battery/daily_charge,kWh
Daily Battery Discharge,515,515,battery/daily_discharge,kWh
Total Battery Charge,516,517,battery/total_charge,kWh
Total Battery Discharge,518,519,battery/total_discharge,kWh
Battery Power,590,590,battery/power,W
Battery Voltage,587,587,battery/voltage,V
Battery SOC,588,588,battery/soc,%
Battery Current,591,591,battery/current,A
Battery Temperature,586,586,battery/temperature,°C
Total Load Power,653,653,ac/ups/total_power,W
Load L1 Power,650,650,ac/ups/l1/power,W
Load L2 Power,651,651,ac/ups/l2/power,W
Load L3 Power,652,652,ac/ups/l3/power,W
Load Voltage L1,644,644,ac/ups/l1/voltage,V
Load Voltage L2,645,645,ac/ups/l2/voltage,V
Load Voltage L3,646,646,ac/ups/l3/voltage,V
Daily Load Consumption,526,526,ac/ups/daily_energy,kWh
Total Load Consumption,527,528,ac/ups/total_energy,kWh
Active power regulation,40,40,settings/active_power_regulation,%
